# yamaha,reface,,,,,,,,,
,,,,,,,,,,
]TOC,TOCTable,None,,,,,,,,
*,*device,chan,proto,addrs,cc,rpm,nrpn,,,
|,refaceCP,0,(]Proto),(]Layout),(]CC),(]RPN),(]NRPN),,,
,,,,,,,,,,
,,,,,,,,,,
]kb,KBTable,None,,,,,,,,
*,keys,wheels,levers,faders,dials,switches,pedals,,,
|,(@keys *),None,None,None,9,3,sus,,,
,,,,,,,,,,
]keys,KeyTable,None,,,,,,,,
*,*device,number,type,action,velocity,vel curves,at,at curves,zones,layers
|,reface.CP,37,mini,synth,yes,None,None,None,1,1
,,,,,,,,,,
,,,,,,,,,,
]dial,CTRLTable,None,,,,,,,,
*,*device,ident,name,xmit,values,,,,,
,,,,,,,,,,
]switch,CTRLTable,None,,,,,,,,
*,*device,ident,name,xmit,values,,,,,
,,,,,,,,,,
,,,,,,,,,,
]tg,TGTable,None,,,,,,,,
*,type,voices,oscillators,envelopes,LFOs,effects,,,,
|,rom,6,1,0,0,(]effect),,,,
,,,,,,,,,,
]effect,FXTable,,,,,,,,,
*,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
]Proto,ProtoTable,None,,,,,,,,
*,op,string...,,,,,,,,
|,rq.bulk,(& (#20) (:chan)),(#7F 1C),,(#04),(#00 00 00),,,,
|,rq.bulk.rg,(& (#20) (:chan)),(#7F 1C),,(#04),(#0E 0F 00),,,,
|,send.bulk,(& (#10) (:chan)),(#7F 1C),(+ 3 (:bytec)),(#04),(:addr),(:data),(:csum),,
|,recv.bulk,(= 1 (= 1 (#10) (>> 4 (&(#F0)))) (=1 chan (&(#0F)))),(#7F 1C),(= 2 bytec),(= 1 model),(=3 addr),(= (- (:bytec) 3) data),(=1 csum),,
|,rq.param,(& (#30) (:chan)),(#7F 1C),,(#04),(:addr),,,,
|,send.param,(& (#10) (:chan)),(#7F 1C),,(#04),(:addr),(:data),,,
|,recv.param,(= 1 (= 1 (#10) (>> 4 (&(#F0)))) (=1 chan (&(#0F)))),(#7F 1C),,(= 1 model),(=3 addr),(= 0 data),,,
,,,,,,,,,,
]Layout,MemoryMap,None,,,,,,,,
*,*ident,addr,name,count,stride,submap,params,,,
|,cp.sys,(#00 00 00),refaceCP System,1,0,(]reface SystemLayout),None,,,
|,cp.part,(#30 00 00),reface CP Part,1,0,(]Part),None,,,
|,cp.bulk,(#0E 0F 00),reface CP Bulk Voice,1,0,None,None,,,
,,,,,,,,,,
,,,,,,,,,,
]Part,MemoryMap,None,,,,,,,,
*,*ident,addr,name,count,stride,submap,params,,,
#,Base:,(#30 00 00),,,,,,,,
|,part.volume,(#00),Volume,1,1,None,(@Params @),,,
|,part.01,(#01),RESERVED,1,1,None,None,,,
|,part.drive,(#02),Drive,1,1,None,(@Params @),,,
|,part.wave,(#03),Wave  Type,1,1,None,(@Params @),,,
|,part.fx.1.type,(#04),Effect 1 Type (Trem/Wah),1,1,None,(@Params @),,,
|,part.fx.1.depth,(#05),Effect 1 Depth,1,1,None,(@Params @),,,
|,part.fx.1.rate,(#06),Effect 1 Rate,1,1,None,(@Params @),,,
|,part.fx.2.type,(#07),Effect 2 Type (Cho/Pha),1,1,None,(@Params @),,,
|,part.fx.2.depth,(#08),Effect 2 Depth,1,1,None,(@Params @),,,
|,part.fx.2.speed,(#09),Effect 2 Speed,1,1,None,(@Params @),,,
|,part.fx.3.type,(#0A),Effect 3 Type (d.dly/a.dly),1,1,None,(@Params @),,,
|,part.fx.3.depth,(#0B),Effect 3 Depth,1,1,None,(@Params @),,,
|,part.fx.3.time,(#0C),Effect 3 Time,1,1,None,(@Params @),,,
|,part.rev.depth,(#0D),Reverb Depth,1,1,None,(@Params @),,,
|,part.0E,(#0E),RESERVED,2,1,None,None,,,
,,,,,,,,,,
,,,,,,,,,,
]Params,ParamTable,None,,,,,,,,
*,*ident,engine,name,bytec,range,cur,render,scale,shift,units
|,part.volume,None,Volume,1,0..127,64,MIDI7,(* 1),(+ 0),@0..127
|,part.wave,None,Wave  Type,1,0;1;2;3;4;5,0,MIDI7,(* 1),(+ 0),Rd1;Rd2;Wr;Clv;Toy;CP
|,part.drive,None,Drive,1,0..127,0,MIDI7,(* 1),(+ 0),@0..127
|,part.fx.1.type,None,Effect 1 Type (Trem/Wah),1,0;1;2,0,MIDI7,(* 1),(+ 0),thru;trem;wah
|,part.fx.1.depth,None,Effect 1 Depth,1,0..127,0,MIDI7,(* 1),(+ 0),@0..127
|,part.fx.1.rate,None,Effect 1 Rate,1,0..127,0,MIDI7,(* 1),(+ 0),@0..127
|,part.fx.2.type,None,Effect 2 Type (Cho/Pha),1,0;1;2,0,MIDI7,(* 1),(+ 0),thru;chorus;phaser
|,part.fx.2.depth,None,Effect 2 Depth,1,0..127,0,MIDI7,(* 1),(+ 0),@0..127
|,part.fx.2.speed,None,Effect 2 Speed,1,0..127,0,MIDI7,(* 1),(+ 0),@0..127
|,part.fx.3.type,None,Effect 3 Type (d.dly/a.dly),1,0;1;2,0,MIDI7,(* 1),(+ 0),thru;d.delay;a.delay
|,part.fx.3.depth,None,Effect 3 Depth,1,0..127,0,MIDI7,(* 1),(+ 0),@0..127
|,part.fx.3.time,None,Effect 3 Time,1,0..127,0,MIDI7,(* 1),(+ 0),@0..127
|,part.rev.depth,None,Reverb Depth,1,0..127,0,MIDI7,(* 1),(+ 0),@0..127
